Pathway	A57RS1T1	A57RS1T2C	A57RS1T2	A57RS2T1	A57RS2T2C	A57RS2T2	A57RS3T1	A57RS3T2C	A57RS3T2	HF12RS1T1	HF12RS1T2C	HF12RS1T2	HF12RS2T1	HF12RS2T2C	HF12RS2T2	HF12RS3T1	HF12RS3T2C	HF12RS3T2	HG64RS1T1	HG64RS1T2C	HG64RS1T2	HG64RS2T1	HG64RS2T2C	HG64RS2T2	HG64RS3T1	HG64RS3T2C	HG64RS3T2	HG70RS1T1	HG70RS1T2C	HG70RS1T2	HG70RS2T1	HG70RS2T2C	HG70RS2T2	HG70RS3T1	HG70RS3T2C	HG70RS3T2
ko00785: Lipoic acid metabolism	2515.6479403412	2550.3256719351	4389.8046647398	2839.7033888583	2822.6345905452	4463.3068940243	1873.5703018821	2134.7105020010	3780.2409725724	2273.3684746977	1819.6918436181	4314.3562889343	2068.7863938302	1648.9350087880	4323.2663582560	2054.8178023594	1708.0691030990	5705.6652026466	2460.3930869756	1953.9368123136	3394.4551523048	1956.0195647865	2052.8824578961	3986.3597095067	4373.0421754229	2189.6772415867	2333.3841983374	2060.9473674520	2320.4550379554	2899.0529428488	1357.3358738161	2450.8625922878	3271.3875888367	1664.0873893083	2103.7204515005	3735.1903010977
ko00790: Folate biosynthesis	524.8057257136	613.0379142383	2820.4611478907	593.5877536143	683.5389999792	2549.9770261781	454.5568831905	536.9729021740	2264.1490511823	758.9807811244	368.2839531574	2863.0911953045	505.6922034578	389.6907015604	2819.8532357572	498.0645571947	414.7729777333	4171.3634777585	703.7116220272	421.5133845300	1918.5501135590	499.3888039100	474.8060790674	2133.4179281988	1270.6271267986	528.2175195800	1157.0157525846	502.2881144358	508.0959215842	1491.1514210296	302.0639097471	756.1130843149	1798.0428345761	376.7220355282	483.1603463568	2192.2199446619
ko00791: Atrazine degradation	808.3122581542	830.4593659552	2151.3693333823	967.0500055110	874.7162684609	2069.5497846563	677.7030323131	783.6793028428	1731.7170274560	821.9493453609	727.0996977762	2132.7102679229	760.2756323026	694.2146617737	2126.1835109092	775.3755528698	502.5913868035	3057.8930530369	804.9264067405	723.6545097422	1657.4198809306	702.8338565409	679.9767182069	1817.5328113761	1122.3102231478	799.2181433130	1109.6564435754	786.6495844931	862.5048935875	1260.1806628555	590.3589157657	787.9912811874	1549.3361340404	628.6703612856	748.1902026162	1701.9262263131
ko00830: Retinol metabolism	0	0	0	0	0	0	0	290.8116878385	0	255.3106572304	0	0	264.0826633140	0	0	0	213.5240506407	1281.5857259458	305.2883710396	0	0	0	0	0	586.9753971323	0	0	0	0	0	0	0	0	0	0	0
ko00860: Porphyrin and chlorophyll metabolism	557.0139359386	609.6300079332	1916.8839116414	632.9826584460	653.3889626936	1748.3801144656	448.9836433648	508.8185927221	1550.1144278230	631.5034119991	379.3063409349	1878.7712240855	449.4918770697	362.6174846235	1884.2712566750	438.3786537920	388.6272244896	2714.1113549889	596.2412215554	422.9682637897	1318.4497504180	458.1814673821	442.0586863021	1510.2168754500	991.7042505439	525.4118424628	853.7587047108	473.9282505249	531.6657065580	1049.8341941694	303.7458320791	638.8197564658	1222.9183656238	372.4531263677	465.4508282979	1498.6748207270
ko00900: Terpenoid backbone biosynthesis	1408.9023757959	1534.4354431675	2527.4970525310	1610.9864479550	1707.7245870106	2684.3238175273	1136.9025116500	1296.9846765032	2218.2723901968	1294.4051545326	1010.6720112073	2564.0770175294	1179.6010152107	952.1117102815	2561.4155700226	1158.5853663531	1001.0298676938	3429.6324340419	1432.7437571823	1102.0299144613	1951.2707316542	1120.6434542232	1208.6851441417	2370.7012024612	2560.5702716417	1293.0816091609	1446.4170485173	1235.1000645695	1354.6555631425	1677.7292976515	824.5777214990	1398.5216003171	1889.8809110604	1000.4893671645	1244.0445090646	2152.3018352360
ko00902: Monoterpenoid biosynthesis	0	0	0	0	0	0	0	0	0	0	6.1123730144	0	9.3768971640	0	0	0	0	0	4.4893435395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00903: Limonene and pinene degradation	1402.0395928109	1642.7505284563	5772.1076437619	1750.2897176441	1783.6113455584	5264.9893604410	1208.0925063496	1479.7181152156	4699.0982053003	1554.3210564904	1043.1056120430	5763.1624406348	1339.4619081488	1024.1082051360	5818.1461821802	1286.2885335580	1012.5907026636	8404.9614706979	1729.5651862211	1243.6682801365	4097.9514863801	1272.5932040075	1283.9420033318	4582.9722611254	3130.2612056345	1355.8491179801	2616.1719465353	1372.0693081127	1473.8282043685	3114.6116547547	893.5617908337	1822.3611404760	3719.0731428644	1115.0615633815	1366.6957991083	4538.4902516717
ko00906: Carotenoid biosynthesis	57.5958774091	69.2513729830	206.2253632060	74.9358323092	77.0252512772	188.4824818942	61.2047684054	70.5356697796	170.7878378239	69.0814422385	48.9427019474	189.7729399448	56.1552279197	47.2321363974	195.8921969673	55.7807438843	57.9516452321	296.0641373994	85.2532337305	51.8960652190	140.2038392405	49.7510012349	55.4802243773	176.1440928914	157.2127240441	61.9061805039	93.9227196605	63.6368185912	71.4927668819	122.3963599548	35.8403656711	89.6698639973	136.0052718753	50.8971947133	58.3051086305	157.6462420239
ko00908: Zeatin biosynthesis	96.3152704310	107.3370985093	549.7181749012	95.9188776195	110.5482761332	487.0747264661	90.5454199162	98.0243195106	431.2744424700	152.5197703517	67.3069684167	516.9691077436	75.6759467985	64.9673475091	537.4981005060	56.8927775241	68.0809592517	741.9659109696	121.2396029163	65.0778775242	349.3676442745	90.0645648330	71.1916546084	418.9084639523	192.3120708793	95.2038894718	212.3600415054	74.3929182596	90.3345635225	272.4805444448	54.4129612164	133.7104502397	313.8398812973	71.3626273591	83.3176617887	421.3640445096
ko00909: Sesquiterpenoid biosynthesis	2.3274687232	3.8832857001	1.5300333128	3.9985364789	2.7667272675	1.9353666573	5.7055386135	8.2032044710	0.6107671687	1.9262682106	0	0	2.1971269189	0.6081167690	0	0.7513053660	1.8989332780	0	0	0	0	0	3.0737077296	0.7687422745	0.8615885298	2.1285280256	1.9470633921	2.7964390048	5.0663595459	4.7894115088	0	7.6137176757	1.4343569287	3.3766543222	7.1027643795	0
ko00910: Nitrogen metabolism	729.3447529192	780.3081575368	1903.8795558826	842.0916571187	826.3453300081	1834.5518977024	580.4503509008	647.8299136417	1590.7023483570	778.0571043185	517.8201504404	1918.5866472587	614.5623586440	518.1689972207	1917.6374971713	638.1341599459	492.8113308344	2701.1273777229	818.1957435967	587.0513083390	1417.2090939334	617.8524289563	616.4733368085	1658.5819095089	1351.9489322397	691.3881995881	943.0142324153	629.5176413954	679.6423994823	1121.3067672269	430.3765487854	739.2693721046	1301.1049909215	501.1960115508	621.9314604043	1555.2411862925
ko00920: Sulfur metabolism	1148.4828192301	1236.5927391887	3025.0137016093	1285.9845374730	1328.0367654615	2840.7610638463	921.4382971325	1012.9893155441	2502.2554472061	1124.1671900199	836.0354528598	3026.3501517288	904.3844690478	802.5387741236	3032.7070655529	964.5286121711	807.7005314260	4296.0158998064	1178.1261675999	900.2951169613	2193.9335871384	908.3388201273	910.2694686792	2557.4858119549	1917.3094460562	1071.4350893290	1464.5728628917	1001.7672013681	1077.7008288221	1747.6169140964	661.9740058295	1185.4827183534	2056.6243257261	798.4633605025	983.5935250385	2495.0181336536
ko00930: Caprolactam degradation	1236.5884293081	1504.4128790224	5815.7905245545	1510.7171491571	1637.9731129291	5162.6906943508	1166.8150434470	1383.0384014484	4726.4348329842	1506.5970484871	999.0666538738	5843.0178579540	1253.3731204079	953.3053800537	5944.7071051030	1267.6273951631	1010.9034935786	8554.7008117980	1816.0651152623	1199.9915658727	4126.7009476012	1214.7657537411	1211.6821933835	4657.0903895507	3009.0381832024	1308.8793085392	2651.6280655353	1302.9228424189	1386.7377541675	3077.1660186339	823.3554019779	1780.8108845117	3740.8236706294	1045.9112548787	1299.8310921956	4523.7257969195
ko00940: Phenylpropanoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492.6894475343	0	0	0	0	0	0	0	0	0	0	0
ko00941: Flavonoid biosynthesis	14.3496714326	28.3964830213	14.6228100452	20.8414256921	33.5329961277	28.9060299881	20.5654514337	26.5115793995	14.4781080372	17.7019625957	12.6448065568	14.4928650040	17.3106303941	12.1167223446	13.2610240627	16.5794491003	12.7571625997	17.7758004522	11.2163254236	15.7514819223	13.2157450303	11.6773206609	17.3786694634	15.3333919265	44.0523391184	16.8159763490	14.2592329317	21.7485334967	25.3672223027	15.3741075774	13.9859376213	25.4241182631	19.4353015749	17.0400392605	29.9993107807	17.0217380703
ko00943: Isoflavonoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3024597389	0	0	0	0	0	0	0	0	0	0	0
ko00944: Flavone and flavonol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.9058640205	0	0	0	0	0	0	0	0	0	0	0
ko00960: Tropane, piperidine and pyridine alkaloid biosynthesis	307.0414050696	358.9044385961	2570.7872614162	345.7571636428	394.7771657542	2142.5237720383	231.3898284506	256.7384253761	2003.8708116715	355.1911127602	153.5929282104	2581.0529972319	208.8312878841	155.3911099912	2570.1045495519	209.2547300101	175.1290218032	3865.0384988113	334.5620429502	201.3392047770	1696.8758121600	237.7042146344	226.3488127448	1823.9474733272	628.8665418856	278.2508832591	961.0014566110	245.7728960695	256.3469105869	1278.9396438122	136.1314976135	499.3070662913	1514.8969624204	171.3411563612	232.1729531430	2002.7178685760
ko00965: Betalain biosynthesis	48.9761974358	41.5732481751	1383.1890462376	38.5358073497	45.4903189887	1040.3933339227	33.4147934265	44.0819390704	1011.2755555128	89.1571692106	0	1396.8113636295	35.4701178048	0	1385.0675928963	0	0	2092.3743703753	0	0	878.7486616158	36.6149967152	29.0416291551	937.1881777138	70.8019825102	44.1374882418	484.3518140184	20.9541404185	23.1535165274	636.4078102870	23.0912306162	187.0176981519	826.6742650506	27.8612549085	31.9988181715	1023.4794126941
ko00970: Aminoacyl-tRNA biosynthesis	1978.7944923575	2016.4404447792	3406.8323373522	2205.3095679243	2196.7462580885	3567.3377640393	1538.2820538823	1683.6541686272	2910.1712841909	1716.2429292389	1376.7827834228	3398.0414606857	1518.6965294208	1318.4293314170	3429.5420689569	1557.3693773789	1330.4581756496	4650.5961794643	1814.4244248728	1475.0481729562	2637.3466339402	1463.9801306273	1554.7537283030	3172.0820101839	3048.7143653093	1759.3745316002	1907.5465775337	1616.0409390936	1799.9471167696	2191.7454489605	1079.1821707703	1763.6177065018	2565.1122060344	1270.6252523917	1590.3778431831	2911.4156548874
ko00980: Metabolism of xenobiotics by cytochrome P450	934.3800284700	1072.6966148382	4141.7466570726	1187.2343438559	1177.9428102820	3727.1172724411	841.0929253156	909.8512643914	3347.1432759082	900.9681053513	657.0602213993	4175.8606296321	833.4038434837	643.3843793845	4169.3835012966	767.9460670140	665.7278382425	6056.7947579769	1013.0493372561	778.8322051161	2872.8949858304	767.4876259756	808.1416037726	3197.7382056362	1765.1069543575	874.1153270890	1759.7968135817	856.4977077363	948.6029112137	2250.7244744018	562.7965783715	1262.1144331308	2663.3028609573	671.3806646333	816.0157415575	3243.5132108542
ko00983: Drug metabolism - other enzymes	1215.1632709555	1256.1109405996	2173.8746284742	1367.4140447115	1391.7245126000	2236.1209216226	1003.4808550604	1085.3612368647	1893.1371077857	1018.1567115813	822.6748657266	2162.6695178090	1022.5447014879	823.0273386386	2166.2951859421	990.7121959983	807.0072197237	2901.1963963850	1103.0070462415	921.1024823457	1679.1574059133	939.6170825562	1010.5098113633	1965.3088293594	2301.8025356796	1038.7114940111	1168.3070888410	991.9834771902	1127.9849848744	1443.1614116275	679.8077878917	1160.6222409987	1598.7158872153	858.5272250833	1048.8580427676	1823.4285377989
ko01040: Biosynthesis of unsaturated fatty acids	689.1923005354	769.5739168933	2360.3713537467	849.1997776752	838.5928364659	2128.7009434590	561.1382462796	634.2198963128	1877.2731193953	752.2736739961	459.8280196851	2294.8494802543	573.8099073543	460.4328423955	2333.7207347601	546.6543879870	472.6017396275	3317.9127822082	687.0691636473	540.2767466323	1667.1127318428	549.6889079971	582.6111544100	1830.9230718276	1177.2828324162	643.8515968183	1063.6268653919	612.2417074234	648.8595446886	1340.0224718220	390.5121562096	810.6633460355	1539.7514022635	480.2238550143	609.9625932743	1860.0752570518
ko01051: Biosynthesis of ansamycins	3470.8560647737	4260.5361011540	4780.0811825317	4283.5401170579	4353.3569989973	5810.4165780021	3118.0097547468	3620.7995206870	4281.2046659450	3825.0586492450	2751.2203407609	4835.1915009421	3333.0290602164	2660.5462089848	4963.1961689856	3210.1564801770	2653.1846748203	6144.8392445761	3873.0668354439	3066.6207885915	4153.4281770677	3056.0274879300	3104.0927535030	5182.6373688486	7025.5900687494	3456.7233522442	3229.3509270289	3339.5958099553	3707.5697176029	3559.5659780730	2296.3660468947	3523.0088336683	3984.8062361778	2816.2662050665	3440.9850953423	4170.8904283282
ko01053: Biosynthesis of siderophore group nonribosomal peptides	32.6451676584	34.8702106037	20.7516306258	40.1738426827	44.5695035474	39.6303932007	25.5627579705	32.9620039001	31.1075407125	82.4717009252	24.4905739430	15.7661611266	37.0615587834	26.6337700596	18.8228146331	38.5602188656	22.5153601759	23.1043721925	53.4821927087	24.4096981530	18.1367133522	39.6675571414	28.2286282415	38.5143380256	104.7231874918	40.3841301766	24.6684715538	28.9648519312	30.1116364167	22.7253674462	18.4929319897	27.3961544978	16.7734030248	23.3473119782	28.1500246963	19.0291461600
ko01055: Biosynthesis of vancomycin group antibiotics	4269.4875105087	4404.4026570768	5603.1474756283	4939.5766403739	4617.8527368837	6501.5913504806	3676.6658579384	3976.0531520790	4897.3342683901	3870.8192826027	3685.4566141627	5691.8190582275	3981.4935096901	3600.0308839462	5764.3252969922	4100.9743165656	3411.9622908919	7291.9320518949	3977.6336752728	3957.4184190474	5122.3024214792	3561.5474986662	3690.0934677643	5800.8031113803	5308.7664742465	4089.3307736463	3879.5982460671	4039.1680630199	4463.5814838817	4160.5763304828	2922.5445347263	3617.5173913761	4857.9983149461	3145.1564295211	4094.3349096825	5233.3937379138
ko01056: Biosynthesis of type II polyketide backbone	15.1676782289	13.8317147578	11.9913204766	20.8647688461	11.2031305547	33.4839153204	29.9615347566	34.6201797601	14.6310351818	6.5962945204	3.5608617230	5.9393660366	18.9394573162	2.9914327285	4.9771597913	6.3658581883	10.3700131383	5.2321008808	6.0436591689	5.2110250187	7.5837057822	10.1108980395	15.9031775069	9.7816477209	8.6352550762	15.3845599758	4.5746859596	21.2996444923	34.9801919022	26.8239715387	8.7884388845	37.3980499267	13.6844561770	21.2532713158	37.6292070125	10.8548915004
ko02010: ABC transporters	771.7161414270	874.8038477776	2460.9284172767	971.6298990989	937.8897932761	2381.7162072804	625.8321677768	730.0858921066	2023.0334732687	852.2483784603	489.6723860943	2437.2353767803	678.0905356792	511.3800657134	2472.3852183411	640.7021419941	485.7730817816	3568.8000069326	808.5496209681	615.3177057044	1767.5944341108	661.9179081586	618.8029158352	2043.1665607862	1637.4610401123	722.1612385393	1175.1302333736	690.0311515956	720.2359291610	1350.6558408708	455.4534258999	830.7964104395	1619.5528122442	524.2127088067	643.1312279945	1952.4859474287
ko02020: Two-component system	558.4338189715	603.6670738103	1894.5321620027	660.3213129029	648.9684219157	1761.4016228824	440.8987193068	502.7098223490	1552.9229117176	655.0610675545	392.7501666075	1887.0711795031	476.8946697528	385.4084826295	1901.0742424738	484.1874741268	380.8084228492	2736.7495130843	636.7911429212	448.6956126912	1349.5784897108	485.1406927577	462.3350442108	1540.0527689431	941.1043157896	530.6937811983	868.9318582058	485.7309078060	518.2483725579	1049.9106928178	324.6179283496	614.9940956888	1241.7038582280	381.6083265452	469.3264852125	1506.0287747140
ko02030: Bacterial chemotaxis	1361.5324737245	1677.2107504869	6382.0860755620	1741.6255516160	1889.7280312215	5806.2300764488	1226.0454719336	1345.5317499398	5183.8809037759	1961.7378346953	1032.0030091377	6342.9223521252	1255.5566042744	995.6018183050	6411.1858828308	1328.1384775942	1010.3804008886	9538.1148003329	1809.9253695747	1168.8412363990	4414.8895918601	1331.3026048123	1137.6078521226	5048.3628715308	2483.8424837791	1395.1105460467	2690.0962401109	1273.4661251870	1411.6247741192	3340.0045927058	834.2826119903	1716.0873561894	3951.9943774509	959.2398554483	1192.4228223382	5035.9223574795
ko02040: Flagellar assembly	1087.8267709913	1216.3898860843	3238.5317809321	1381.7571088113	1376.5730871441	3044.2770628723	831.0522259872	929.6002579688	2662.5611051121	1290.0538303570	779.2039238246	3179.7896679555	834.8648545283	678.4328180672	3262.3026058305	915.7610825870	707.9968597250	4708.6601101019	1354.4095318075	834.3258300960	2257.7420857347	897.1795719839	866.5908016481	2719.4984971215	1853.6410306971	1029.0938668933	1493.1328312480	913.6632727118	1016.6650277603	1798.1071595261	573.2062708136	1109.4081092236	2083.4850949883	690.5420076100	850.7617541488	2591.4353727315
ko02060: Phosphotransferase system (PTS)	122.9969201195	165.4487655754	483.9760139681	144.7500351571	170.4808797174	449.0471791806	100.7827347491	119.7185461699	410.7403770110	132.5557316225	91.3511301578	492.0174102702	108.7282959800	82.4098205161	495.9637550502	105.8428068588	87.7555836255	704.8498706842	136.3301041258	95.4781226448	339.3745575618	109.6402328022	102.9309692473	379.5214251027	261.6696216767	113.2721722473	213.1499389060	106.2030851573	120.5756573034	258.7463800778	65.0136707186	152.3692443343	313.1942259538	86.4360919860	105.2645697336	384.5025300925
ko03008: Ribosome biogenesis in eukaryotes	46.8450399332	49.7772422697	115.2670481527	45.7426846077	49.6957674735	118.4675969579	33.7376699012	39.9090798138	96.2135793373	56.1621576363	23.4786242990	117.4513788962	32.3324554918	27.7846796463	112.3728745192	33.0061102663	33.6321496513	166.5238793630	43.7434187052	29.3552280234	80.9099187517	32.5223741931	28.8917951991	96.0240345152	91.1800944136	40.1412827714	58.3528872757	36.1501648843	35.5383082310	66.8126704397	22.6909531388	45.6794099111	78.7963362285	27.7058668974	32.3231469893	92.6809236853
ko03010: Ribosome	3655.4850235679	3684.0143016985	4444.7209609995	4181.3935350673	4047.2237569870	5103.4589482833	2959.2642120558	3253.6233666924	4055.0535781199	3088.0826876758	2708.6332660580	4603.5714719830	3070.3920968660	2631.0537980668	4571.4013634553	3076.2480497113	2599.7472939077	5808.0919333617	3364.1160999220	2881.3846534505	3824.2666408174	2821.7614591698	2991.8322410025	4580.1013976164	5497.1155585199	3293.9519152906	3014.4231236337	3079.5626236569	3462.7659463748	3373.3167779884	2138.2108760793	3206.7417679129	3891.2360460326	2501.4265059472	3064.6423169644	4032.3657482656
ko03013: RNA transport	15.5826413685	11.1353966476	77.0609407405	12.5861665210	11.7620432053	64.6556132096	9.8464238448	10.5135106961	60.5436628521	22.8156907323	6.8011162340	77.9629206825	10.5866330674	8.9267566110	77.5544468401	10.7069276230	6.5313837621	114.3791307729	18.0178234577	7.6779399060	50.9442724684	11.5977578431	7.3700534346	59.7555551616	42.3034621507	11.4759031272	31.2092038069	9.8248027542	8.5699959666	39.0027940772	5.9760166973	15.2683447035	47.2038960813	7.0356722372	8.9669664354	58.9282463501
ko03015: mRNA surveillance pathway	6.0261579492	2.0717929241	1.2865257129	3.3045866403	3.3122989260	4.3152516581	5.9126865041	0	1.6980375900	3.7066323821	0	0	3.1739763256	3.5527989083	0	2.8804765903	2.2119065666	1.4768202920	2.9250426009	0	1.6771999467	2.0547553043	1.4969365557	3.7665563638	13.6095828792	5.2767086156	2.9093749116	3.4847765950	3.0622418623	1.1994058222	2.2836395894	1.4681843693	0	1.9388682095	1.4710407887	1.1443542968
ko03018: RNA degradation	1302.0010427975	1292.0092570658	1588.5152368088	1454.9916638203	1373.4084981685	1826.2678517706	1034.6872713410	1130.7293266404	1437.9956613819	1089.4918050895	938.6051652460	1676.2929267737	1070.7737034653	942.3664264437	1627.5733960007	1087.0258380103	882.7169684923	2051.7989867671	1152.0935722825	1040.5007441682	1362.1882183380	998.1698910181	1038.9834036399	1629.6335911179	1862.6241808309	1172.4029363169	1079.9635092293	1095.0900693566	1224.4296494790	1184.0286017881	768.1644163798	1078.1482010300	1377.7412853409	867.1337416888	1068.7503432446	1423.1651713059
ko03020: RNA polymerase	1675.8313551853	1646.7805832609	2575.6244635599	1832.5370503858	1735.8345893847	2689.7147438605	1363.6743347137	1479.2850494741	2249.7884326103	1465.4545451615	1258.5879701196	2624.5908038675	1431.5151499322	1220.0623580816	2610.7987557612	1432.4584399376	1155.4434011041	3394.7831220444	1552.2147248144	1336.6983593959	2109.2183739596	1307.5560080311	1338.8027849666	2372.9467790323	2330.0240717119	1514.3133699504	1558.9240585040	1406.4109051933	1597.1484499465	1783.1667835533	1024.8480428218	1469.6532076040	2077.7126992543	1165.7061636074	1418.4810964375	2180.3715087060
ko03022: Basal transcription factors	3.0835407193	0.9413992074	0	3.2898860401	0.5821789104	2.5722508928	2.5342174324	1.0602827630	0	0	0	0	3.2885521990	1.8511065181	0.7289998052	0.6849561579	0.6539773359	0	1.6200089269	0.4439805190	2.0889546327	0	0.6620176923	0	8.2350830457	1.5625467198	0	1.6138225890	0	1.9569335707	0	0	0.4572035796	0	0	0
ko03030: DNA replication	855.4182012660	898.2605281547	1729.5160400283	951.2162360405	981.2095094914	1768.2289599016	675.8751570711	726.6966260507	1492.2227551304	898.7862136128	571.9664455264	1708.0898473081	671.3649965664	545.0186162345	1715.2065979948	682.4632220588	592.7081005290	2377.4945711005	910.8070771494	618.4606277701	1284.4557748185	673.8240009506	686.8200360812	1567.1968020047	1665.2626385868	786.8781933418	904.4348527705	692.8328698834	772.0253948152	1083.1094317280	452.2143968510	828.2082788431	1230.0861249162	565.2343419641	689.1289587682	1441.5501651379
ko03040: Spliceosome	5.7281409170	2.0795674711	2.3757438920	4.3145211180	3.1822196350	5.6407154142	5.1954980436	2.6650339320	1.4299181481	3.4780955055	3.1233443508	1.6332957687	2.8636387440	4.7773943708	0.8110585252	2.0388584427	2.1391024078	1.4680739849	2.9962066398	2.3567640939	2.1043944945	1.8503694773	1.8982028773	4.4146857696	18.6526321827	3.6536043056	2.8586841343	2.6279943458	3.4095503495	1.7974935314	2.1612900881	1.5662526596	2.3190580251	2.5348678879	2.0800161443	1.4435136585
ko03050: Proteasome	53.5874788537	38.3429048539	29.0105085370	47.6334909379	42.6035890007	34.9218337992	40.9260002321	44.8429882771	31.5344038919	28.0641065093	29.0383525837	22.0350409923	39.3331924103	36.6575417380	23.0555698930	31.7739172513	29.6190846575	26.1025088571	30.3362651942	29.3114652033	26.8419344469	25.5477373661	35.4156303883	33.0692157436	85.9684103357	39.0528474968	24.2034861998	39.2625296042	45.6955006256	36.6600675423	29.4450374340	48.8423651889	28.1543938083	35.6719736816	46.2201141265	27.1238902121
ko03060: Protein export	1170.3938163222	1277.5214273391	2647.1883697293	1362.7696095609	1367.8350669844	2615.7949398224	937.6706858774	1042.6531289421	2217.1873639551	1233.4933869824	843.3269045986	2611.3466351509	942.9340525622	803.0140855236	2651.3614301978	973.5254357033	847.8742622924	3716.2653293079	1232.6611971120	922.8722878634	1940.7836798931	949.9640841037	941.4330634328	2347.0792734321	2058.5495003314	1099.2922569953	1349.6121585422	1030.7110946831	1102.1510139476	1596.4331563604	654.3753621456	1176.5612048332	1859.4616938398	782.0031584987	972.4095474510	2182.3663400045
ko03070: Bacterial secretion system	894.0885540214	966.2204010693	4167.1498711944	1036.4559548048	1036.9737802612	3578.2546348129	685.0602144914	764.2003150711	3313.5122299474	962.4356015553	618.7422484105	4178.7016944554	677.8032626189	582.2941101629	4202.4210037087	715.4405144570	601.9094173498	6161.4765109886	965.1330227268	666.4622106365	2860.8487610421	708.8832109767	723.8781083428	3138.7871912954	1459.7915859418	829.6974728767	1698.2159359848	733.4209155556	782.4297456555	2164.2404804962	465.9970329507	1102.1598125215	2626.7803192986	567.3168742457	699.9089606136	3256.2645326283
ko03320: PPAR signaling pathway	352.8179499838	364.2832920545	0	420.0002357164	394.6695840022	970.7014885359	0	330.2692421533	844.9787078216	344.5097733705	249.7145089321	1015.9973012468	313.9501900699	253.7638124373	1057.3691193805	313.5511319707	255.3665331273	1465.0174801187	390.7352041073	293.5520984887	758.5395933396	301.8620273717	301.0012466220	865.0213821774	675.4901925341	324.0545126126	503.1945367727	327.1505899849	339.2209875538	584.9002991981	217.7030842263	0	690.7143434342	0	323.6023967052	816.9095567945
ko03410: Base excision repair	661.0639039562	735.2319780273	1752.2220092481	769.7542422312	823.2266241117	1708.3298272589	554.4080876593	620.6131933719	1475.8711271904	721.9232200737	433.0485227260	1722.1068100507	546.6138311412	418.0153840773	1739.0875227446	526.9783626962	462.6155953818	2468.8800252016	743.5431291182	503.9654141262	1221.0218137175	537.1824703900	564.0544828749	1492.4212040712	1410.1917423112	630.0364454828	831.5558667930	580.7510344084	650.3402892614	1054.1922093074	354.0839670560	746.1533350984	1167.0251710690	461.3000095921	584.4744917915	1375.5133990916
ko03420: Nucleotide excision repair	1035.7628287375	1061.3054420588	1448.8504463675	1150.4167374510	1136.1995706367	1613.4122277288	849.3700555223	934.5710369740	1313.7315723139	868.7787863073	754.0864151077	1470.3993184477	868.1033144729	739.9389795258	1479.6045597006	860.0264285902	719.4001141940	1895.1534522744	941.1725500626	836.1665289428	1196.7972313784	802.3698689423	850.2706698913	1409.1991100511	1659.7466412566	934.0572353657	912.3468797822	885.7652654868	1002.8995971813	1040.7740233345	613.5836302120	938.4909980244	1179.9399019113	726.5710542878	901.0955601632	1280.1165330877
ko03430: Mismatch repair	1135.3232724375	1215.3633274619	2281.3914208446	1268.7922883421	1329.8327907502	2364.7180347277	926.5063120246	1009.8889171945	1982.0033336083	1183.7966493377	772.4291118152	2240.7047049471	921.6204638093	746.7717612184	2277.8597455257	922.6232103297	800.6513660597	3133.8977983948	1217.4480162081	850.9237298178	1708.8659976167	908.4937310223	927.3803762367	2093.7370977057	2226.2638474307	1047.9738852572	1202.1598046227	936.2999039775	1053.5407524477	1424.5620016452	615.5068480980	1125.8648204800	1622.7742175994	770.5081417093	936.4148667891	1913.0059750975
ko03440: Homologous recombination	1228.5989187730	1268.5464509560	2180.2191688179	1345.9821278155	1368.1789144561	2292.8013978514	961.0871478378	1063.3763622916	1899.7537647220	1207.1357146281	840.4619553101	2178.1091722816	971.2222876969	810.1251623336	2178.8420037520	983.2833055462	859.8009686874	2966.1463964265	1226.4834410663	907.9159786906	1664.3929039572	957.4441648814	974.0038954069	1999.7058280396	2143.0048120720	1114.0304670257	1200.6359724661	995.9385654868	1114.2967862930	1398.7973636790	657.2778881739	1134.7249803334	1616.1549341009	820.9970740701	998.4607100083	1837.7713564820
ko03450: Non-homologous end-joining	282.2747769538	288.3517684521	209.9508834614	339.7577846189	350.7430386001	316.5989082413	268.5271424365	286.7774520631	231.4165387109	245.3744967267	189.8693430203	174.4017560371	250.7891903278	184.7795865671	203.9832175113	203.2077312568	189.1395899401	211.6425473634	249.7355043324	220.1428477984	188.6597549355	213.9494317359	246.7918535330	252.1831657396	596.9084479946	253.4502782978	164.2384632023	258.5953794046	296.6613489936	223.4973658093	155.8673168410	294.6305214828	212.2691107141	222.5783059490	274.5485937026	206.1841055750
ko04010: MAPK signaling pathway	2.5933751156	0	0	0	1.8290985515	2.7560440831	2.6810474201	0	0	0	0	0	0	0	0	1.7372606476	0	0	0	0	0	0	0.9066011285	0	7.2429872146	0	0	0	0	0	0	0.9775327666	0	0	0	0
ko04011: MAPK signaling pathway - yeast	138.0973001329	125.4068883360	0	168.9842450002	0	0	0	0	223.3885727346	0	0	0	0	77.6619857734	0	0	82.0994361299	0	130.9365322716	0	202.7487712651	0	0	0	173.5432394836	0	0	108.9634063925	0	0	0	0	0	0	0	0
